2021-01-29 08:51:19 install debconf-i18n:all <none> 1.5.56+deb8u1
2021-01-29 08:51:19 status half-installed debconf-i18n:all 1.5.56+deb8u1
2021-01-29 08:51:19 status unpacked debconf-i18n:all 1.5.56+deb8u1
2021-01-29 08:51:19 status unpacked debconf-i18n:all 1.5.56+deb8u1
2021-01-29 08:51:19 install debianutils:armhf <none> 4.4+b1
2021-01-29 08:51:19 status half-installed debianutils:armhf 4.4+b1
2021-01-29 08:51:19 status unpacked debianutils:armhf 4.4+b1
2021-01-29 08:51:19 status unpacked debianutils:armhf 4.4+b1
2021-01-29 08:51:19 install diffutils:armhf <none> 1:3.3-1+b1
2021-01-29 08:51:19 status half-installed diffutils:armhf 1:3.3-1+b1
2021-01-29 08:51:20 status unpacked diffutils:armhf 1:3.3-1+b1
2021-01-29 08:51:20 status unpacked diffutils:armhf 1:3.3-1+b1
2021-01-29 08:51:20 upgrade dpkg:armhf 1.17.27 1.17.27
2021-01-29 08:51:20 status half-configured dpkg:armhf 1.17.27
2021-01-29 08:51:20 status unpacked dpkg:armhf 1.17.27
2021-01-29 08:51:20 status half-installed dpkg:armhf 1.17.27
2021-01-29 08:51:20 status half-installed dpkg:armhf 1.17.27
2021-01-29 08:51:20 status unpacked dpkg:armhf 1.17.27
2021-01-29 08:51:20 status unpacked dpkg:armhf 1.17.27
2021-01-29 08:51:21 install e2fslibs:armhf <none> 1.42.12-2+b1
2021-01-29 08:51:21 status half-installed e2fslibs:armhf 1.42.12-2+b1
2021-01-29 08:51:21 status unpacked e2fslibs:armhf 1.42.12-2+b1
2021-01-29 08:51:21 status unpacked e2fslibs:armhf 1.42.12-2+b1
2021-01-29 08:51:21 install e2fsprogs:armhf <none> 1.42.12-2+b1
2021-01-29 08:51:21 status half-installed e2fsprogs:armhf 1.42.12-2+b1
2021-01-29 08:51:22 status unpacked e2fsprogs:armhf 1.42.12-2+b1
2021-01-29 08:51:22 status unpacked e2fsprogs:armhf 1.42.12-2+b1
2021-01-29 08:51:22 install libcomerr2:armhf <none> 1.42.12-2+b1
2021-01-29 08:51:22 status half-installed libcomerr2:armhf 1.42.12-2+b1
2021-01-29 08:51:22 status unpacked libcomerr2:armhf 1.42.12-2+b1
2021-01-29 08:51:22 status unpacked libcomerr2:armhf 1.42.12-2+b1
2021-01-29 08:51:22 install libss2:armhf <none> 1.42.12-2+b1
2021-01-29 08:51:22 status half-installed libss2:armhf 1.42.12-2+b1
2021-01-29 08:51:22 status unpacked libss2:armhf 1.42.12-2+b1
